3 #SUP: 12790
4 #SUP: 6851
5 #SUP: 44396
7 #SUP: 20081
8 #SUP: 37967
9 #SUP: 28934
10 #SUP: 4901
11 #SUP: 39922
12 #SUP: 10883
13 #SUP: 36959
15 #SUP: 23265
16 #SUP: 9458
17 #SUP: 27214
18 #SUP: 13301
19 #SUP: 25130
22 #SUP: 23202
23 #SUP: 7244
24 #SUP: 9732
26 #SUP: 5207
27 #SUP: 7597
28 #SUP: 5171
37 #SUP: 11655
39 #SUP: 8410
42 #SUP: 5289
44 #SUP: 9027
48 #SUP: 23289
3 5  #SUP: 12551
8 11 13 48  #SUP: 14371
8 11 15 17  #SUP: 8298
8 11 15 18  #SUP: 5737
8 11 15 19  #SUP: 10902
8 11 15 22  #SUP: 9139
8 11 15 48  #SUP: 9417
8 11 16 18  #SUP: 5733
8 11 17 18  #SUP: 5158
8 11 17 19  #SUP: 11506
8 11 17 22  #SUP: 9909
8 11 17 24  #SUP: 5350
8 11 17 37  #SUP: 6225
8 11 17 39  #SUP: 4664
8 11 17 48  #SUP: 10016
8 11 18 19  #SUP: 4780
8 11 18 48  #SUP: 4650
8 11 19 22  #SUP: 10500
8 11 19 24  #SUP: 5544
8 11 19 37  #SUP: 5183
8 11 19 48  #SUP: 10205
8 11 22 48  #SUP: 8968
8 12 13 17  #SUP: 4692
8 13 15 17  #SUP: 7504
8 13 15 18  #SUP: 5405
8 13 15 19  #SUP: 9420
8 13 15 22  #SUP: 8285
8 13 15 48  #SUP: 8622
8 13 16 18  #SUP: 5409
8 13 17 18  #SUP: 4844
8 13 17 19  #SUP: 9924
8 13 17 22  #SUP: 9033
8 13 17 24  #SUP: 4799
8 13 17 37  #SUP: 5729
8 13 17 48  #SUP: 9173
8 13 19 22  #SUP: 9017
8 13 19 24  #SUP: 4782
8 13 19 48  #SUP: 8718
8 13 22 48  #SUP: 8155
8 15 17 19  #SUP: 6096
8 15 17 22  #SUP: 4873
8 15 17 48  #SUP: 4944
8 15 19 22  #SUP: 6880
8 15 19 48  #SUP: 6604
8 15 22 48  #SUP: 5889
8 17 19 22  #SUP: 6652
8 17 19 48  #SUP: 6418
8 17 22 48  #SUP: 5603
8 19 22 48  #SUP: 6177
9 11 13 15  #SUP: 11248
9 11 13 17  #SUP: 13468
9 11 13 18  #SUP: 5953
9 11 13 19  #SUP: 12432
9 11 13 22  #SUP: 11480
9 11 13 24  #SUP: 5059
9 11 13 37  #SUP: 5765
9 11 13 48  #SUP: 11410
9 11 15 17  #SUP: 6750
9 11 15 19  #SUP: 8829
9 11 15 22  #SUP: 7594
9 11 15 48  #SUP: 7496
9 11 17 19  #SUP: 9442
9 11 17 22  #SUP: 8252
9 11 17 37  #SUP: 4859
9 11 17 48  #SUP: 8008
9 11 19 22  #SUP: 8737
9 11 19 48  #SUP: 8190
9 11 22 48  #SUP: 7367
9 13 15 17  #SUP: 5934
9 13 15 19  #SUP: 7383
9 13 15 22  #SUP: 6700
9 13 15 48  #SUP: 6651
9 13 17 19  #SUP: 7874
9 13 17 22  #SUP: 7293
9 13 17 48  #SUP: 7147
9 13 19 22  #SUP: 7266
9 13 19 48  #SUP: 6774
9 13 22 48  #SUP: 6497
9 15 17 19  #SUP: 4932
9 15 19 22  #SUP: 5512
9 15 19 48  #SUP: 5141
9 15 22 48  #SUP: 4700
9 17 19 22  #SUP: 5504
9 17 19 48  #SUP: 5069
9 17 22 48  #SUP: 4552
9 19 22 48  #SUP: 4929
11 12 13 17  #SUP: 5657
11 12 13 19  #SUP: 4711
11 12 13 48  #SUP: 4695
11 13 15 17  #SUP: 8558
11 13 15 18  #SUP: 5462
11 13 15 19  #SUP: 10611
11 13 15 22  #SUP: 9360
11 13 15 48  #SUP: 9397
11 13 16 18  #SUP: 5582
11 13 17 18  #SUP: 5158
11 13 17 19  #SUP: 11657
11 13 17 22  #SUP: 10507
11 13 17 24  #SUP: 5519
11 13 17 37  #SUP: 6487
11 13 17 39  #SUP: 4999
11 13 17 48  #SUP: 10468
11 13 18 19  #SUP: 4575
11 13 18 48  #SUP: 4617
11 13 19 22  #SUP: 10475
11 13 19 24  #SUP: 5369
11 13 19 37  #SUP: 5104
11 13 19 48  #SUP: 9905
11 13 22 37  #SUP: 4636
11 13 22 48  #SUP: 9272
11 13 37 48  #SUP: 4530
11 15 17 19  #SUP: 7099
11 15 17 22  #SUP: 5643
11 15 17 48  #SUP: 5541
11 15 19 22  #SUP: 7785
11 15 19 48  #SUP: 7315
11 15 22 48  #SUP: 6414
11 17 19 22  #SUP: 7872
11 17 19 24  #SUP: 4821
11 17 19 37  #SUP: 4539
11 17 19 48  #SUP: 7455
11 17 22 48  #SUP: 6414
11 19 22 48  #SUP: 7038
13 15 17 19  #SUP: 6128
13 15 17 22  #SUP: 5049
13 15 17 48  #SUP: 4987
13 15 19 22  #SUP: 6731
13 15 19 48  #SUP: 6314
13 15 22 48  #SUP: 5795
13 17 19 22  #SUP: 6757
13 17 19 48  #SUP: 6376
13 17 22 48  #SUP: 5791
13 19 22 48  #SUP: 5998
15 19 22 48  #SUP: 4791
3 5 8 9 11  #SUP: 5997
3 5 8 9 13  #SUP: 5450
3 5 8 9 15  #SUP: 5820
3 5 8 11 13  #SUP: 7553
3 5 8 11 15  #SUP: 7482
3 5 8 11 19  #SUP: 5317
3 5 8 11 22  #SUP: 4749
3 5 8 11 48  #SUP: 5127
3 5 8 13 15  #SUP: 7027
3 5 8 13 19  #SUP: 4586
3 5 8 13 48  #SUP: 4787
3 5 8 15 19  #SUP: 4859
3 5 8 15 22  #SUP: 4550
3 5 8 15 48  #SUP: 5036
3 5 9 11 13  #SUP: 5711
3 5 9 11 15  #SUP: 5741
3 5 9 13 15  #SUP: 5206
3 5 11 13 15  #SUP: 7088
3 5 11 13 19  #SUP: 4840
3 5 11 13 22  #SUP: 4627
3 5 11 13 48  #SUP: 4903
3 5 11 15 19  #SUP: 5019
3 5 11 15 22  #SUP: 4621
3 5 11 15 48  #SUP: 4927
3 5 13 15 48  #SUP: 4598
3 8 9 11 13  #SUP: 4982
3 8 9 11 15  #SUP: 5019
3 8 9 13 15  #SUP: 4579
3 8 11 13 15  #SUP: 6200
3 9 11 13 15  #SUP: 4808
5 7 8 9 11  #SUP: 8824
5 7 8 9 13  #SUP: 8799
5 7 8 9 15  #SUP: 4949
5 7 8 9 17  #SUP: 6452
5 7 8 9 22  #SUP: 4782
5 7 8 9 48  #SUP: 5353
5 7 8 11 13  #SUP: 12250
5 7 8 11 15  #SUP: 6057
5 7 8 11 17  #SUP: 8452
5 7 8 11 18  #SUP: 4821
5 7 8 11 22  #SUP: 6132
5 7 8 11 48  #SUP: 6875
5 7 8 13 15  #SUP: 6181
5 7 8 13 17  #SUP: 8516
5 7 8 13 18  #SUP: 4999
5 7 8 13 22  #SUP: 6185
5 7 8 13 48  #SUP: 7021
5 7 8 17 48  #SUP: 4642
5 7 9 11 13  #SUP: 9171
5 7 9 11 15  #SUP: 4608
5 7 9 11 17  #SUP: 6352
5 7 9 11 22  #SUP: 4871
5 7 9 11 48  #SUP: 5316
5 7 9 13 15  #SUP: 4567
5 7 9 13 17  #SUP: 6229
5 7 9 13 22  #SUP: 4764
5 7 9 13 48  #SUP: 5297
5 7 11 13 15  #SUP: 6212
5 7 11 13 17  #SUP: 8917
5 7 11 13 18  #SUP: 4766
5 7 11 13 22  #SUP: 6686
5 7 11 13 48  #SUP: 7422
5 7 11 17 48  #SUP: 4791
5 7 13 17 48  #SUP: 4789
5 8 9 11 13  #SUP: 17695
5 8 9 11 15  #SUP: 11064
5 8 9 11 17  #SUP: 12810
5 8 9 11 18  #SUP: 6063
5 8 9 11 19  #SUP: 12393
5 8 9 11 22  #SUP: 10849
5 8 9 11 24  #SUP: 4817
5 8 9 11 37  #SUP: 5479
5 8 9 11 48  #SUP: 11099
5 8 9 13 15  #SUP: 9881
5 8 9 13 17  #SUP: 11517
5 8 9 13 18  #SUP: 5588
5 8 9 13 19  #SUP: 10316
5 8 9 13 22  #SUP: 9608
5 8 9 13 37  #SUP: 4849
5 8 9 13 48  #SUP: 9968
5 8 9 15 17  #SUP: 5877
5 8 9 15 19  #SUP: 7542
5 8 9 15 22  #SUP: 6634
5 8 9 15 48  #SUP: 6909
5 8 9 17 19  #SUP: 7767
5 8 9 17 22  #SUP: 7055
5 8 9 17 48  #SUP: 7057
5 8 9 19 22  #SUP: 7238
5 8 9 19 48  #SUP: 7032
5 8 9 22 48  #SUP: 6448
5 8 11 12 13  #SUP: 7475
5 8 11 12 17  #SUP: 5385
5 8 11 12 19  #SUP: 4855
5 8 11 12 48  #SUP: 4634
5 8 11 13 15  #SUP: 13847
5 8 11 13 16  #SUP: 5770
5 8 11 13 17  #SUP: 16783
5 8 11 13 18  #SUP: 7933
5 8 11 13 19  #SUP: 15121
5 8 11 13 22  #SUP: 13693
5 8 11 13 24  #SUP: 6142
5 8 11 13 27  #SUP: 4599
5 8 11 13 37  #SUP: 7317
5 8 11 13 39  #SUP: 5342
5 8 11 13 44  #SUP: 5421
5 8 11 13 48  #SUP: 14228
5 8 11 15 17  #SUP: 8172
5 8 11 15 18  #SUP: 5675
5 8 11 15 19  #SUP: 10731
5 8 11 15 22  #SUP: 8975
5 8 11 15 48  #SUP: 9337
5 8 11 16 18  #SUP: 5659
5 8 11 17 18  #SUP: 5097
5 8 11 17 19  #SUP: 11347
5 8 11 17 22  #SUP: 9760
5 8 11 17 24  #SUP: 5286
5 8 11 17 37  #SUP: 6135
5 8 11 17 39  #SUP: 4613
5 8 11 17 48  #SUP: 9934
5 8 11 18 19  #SUP: 4717
5 8 11 18 48  #SUP: 4614
5 8 11 19 22  #SUP: 10340
5 8 11 19 24  #SUP: 5459
5 8 11 19 37  #SUP: 5109
5 8 11 19 48  #SUP: 10132
5 8 11 22 48  #SUP: 8874
5 8 12 13 17  #SUP: 4621
5 8 13 15 17  #SUP: 7382
5 8 13 15 18  #SUP: 5343
5 8 13 15 19  #SUP: 9252
5 8 13 15 22  #SUP: 8124
5 8 13 15 48  #SUP: 8542
5 8 13 16 18  #SUP: 5336
5 8 13 17 18  #SUP: 4784
5 8 13 17 19  #SUP: 9769
5 8 13 17 22  #SUP: 8883
5 8 13 17 24  #SUP: 4733
5 8 13 17 37  #SUP: 5638
5 8 13 17 48  #SUP: 9091
5 8 13 19 22  #SUP: 8863
5 8 13 19 24  #SUP: 4700
5 8 13 19 48  #SUP: 8647
5 8 13 22 48  #SUP: 8065
5 8 15 17 19  #SUP: 6005
5 8 15 17 22  #SUP: 4793
5 8 15 17 48  #SUP: 4905
5 8 15 19 22  #SUP: 6762
5 8 15 19 48  #SUP: 6560
5 8 15 22 48  #SUP: 5837
5 8 17 19 22  #SUP: 6557
5 8 17 19 48  #SUP: 6375
5 8 17 22 48  #SUP: 5553
5 8 19 22 48  #SUP: 6130
5 9 11 13 15  #SUP: 10984
5 9 11 13 17  #SUP: 13199
5 9 11 13 18  #SUP: 5843
5 9 11 13 19  #SUP: 12181
5 9 11 13 22  #SUP: 11210
5 9 11 13 24  #SUP: 4937
5 9 11 13 37  #SUP: 5634
5 9 11 13 48  #SUP: 11276
5 9 11 15 17  #SUP: 6616
5 9 11 15 19  #SUP: 8656
5 9 11 15 22  #SUP: 7411
5 9 11 15 48  #SUP: 7417
5 9 11 17 19  #SUP: 9285
5 9 11 17 22  #SUP: 8095
5 9 11 17 37  #SUP: 4770
5 9 11 17 48  #SUP: 7937
5 9 11 19 22  #SUP: 8584
5 9 11 19 48  #SUP: 8127
5 9 11 22 48  #SUP: 7280
5 9 13 15 17  #SUP: 5807
5 9 13 15 19  #SUP: 7221
5 9 13 15 22  #SUP: 6526
5 9 13 15 48  #SUP: 6574
5 9 13 17 19  #SUP: 7726
5 9 13 17 22  #SUP: 7140
5 9 13 17 48  #SUP: 7077
5 9 13 19 22  #SUP: 7123
5 9 13 19 48  #SUP: 6712
5 9 13 22 48  #SUP: 6416
5 9 15 17 19  #SUP: 4840
5 9 15 19 22  #SUP: 5402
5 9 15 19 48  #SUP: 5103
5 9 15 22 48  #SUP: 4646
5 9 17 19 22  #SUP: 5413
5 9 17 19 48  #SUP: 5034
5 9 19 22 48  #SUP: 4891
5 11 12 13 17  #SUP: 5541
5 11 12 13 19  #SUP: 4614
5 11 12 13 48  #SUP: 4628
5 11 13 15 17  #SUP: 8377
5 11 13 15 18  #SUP: 5370
5 11 13 15 19  #SUP: 10387
5 11 13 15 22  #SUP: 9130
5 11 13 15 48  #SUP: 9282
5 11 13 16 18  #SUP: 5474
5 11 13 17 18  #SUP: 5066
5 11 13 17 19  #SUP: 11440
5 11 13 17 22  #SUP: 10283
5 11 13 17 24  #SUP: 5419
5 11 13 17 37  #SUP: 6350
5 11 13 17 39  #SUP: 4914
5 11 13 17 48  #SUP: 10348
5 11 13 18 48  #SUP: 4559
5 11 13 19 22  #SUP: 10275
5 11 13 19 24  #SUP: 5256
5 11 13 19 37  #SUP: 5007
5 11 13 19 48  #SUP: 9807
5 11 13 22 37  #SUP: 4534
5 11 13 22 48  #SUP: 9155
5 11 15 17 19  #SUP: 6974
5 11 15 17 22  #SUP: 5527
5 11 15 17 48  #SUP: 5482
5 11 15 19 22  #SUP: 7637
5 11 15 19 48  #SUP: 7252
5 11 15 22 48  #SUP: 6344
5 11 17 19 22  #SUP: 7747
5 11 17 19 24  #SUP: 4750
5 11 17 19 48  #SUP: 7396
5 11 17 22 48  #SUP: 6343
5 11 19 22 48  #SUP: 6977
5 13 15 17 19  #SUP: 6008
5 13 15 17 22  #SUP: 4936
5 13 15 17 48  #SUP: 4930
5 13 15 19 22  #SUP: 6590
5 13 15 19 48  #SUP: 6254
5 13 15 22 48  #SUP: 5730
5 13 17 19 22  #SUP: 6634
5 13 17 19 48  #SUP: 6318
5 13 17 22 48  #SUP: 5721
5 13 19 22 48  #SUP: 5942
5 15 19 22 48  #SUP: 4750
7 8 9 11 13  #SUP: 7798
7 8 9 11 17  #SUP: 5445
7 8 9 13 17  #SUP: 5378
7 8 11 13 15  #SUP: 5355
7 8 11 13 17  #SUP: 7655
7 8 11 13 22  #SUP: 5514
7 8 11 13 48  #SUP: 6198
7 9 11 13 17  #SUP: 5771
7 9 11 13 48  #SUP: 4799
8 9 11 13 15  #SUP: 9302
8 9 11 13 17  #SUP: 10989
8 9 11 13 18  #SUP: 5081
8 9 11 13 19  #SUP: 10202
8 9 11 13 22  #SUP: 9171
8 9 11 13 37  #SUP: 4720
8 9 11 13 48  #SUP: 9374
8 9 11 15 17  #SUP: 5469
8 9 11 15 19  #SUP: 7275
8 9 11 15 22  #SUP: 6120
8 9 11 15 48  #SUP: 6211
8 9 11 17 19  #SUP: 7547
8 9 11 17 22  #SUP: 6534
8 9 11 17 48  #SUP: 6489
8 9 11 19 22  #SUP: 7032
8 9 11 19 48  #SUP: 6778
8 9 11 22 48  #SUP: 5915
8 9 13 15 17  #SUP: 4832
8 9 13 15 19  #SUP: 6088
8 9 13 15 22  #SUP: 5403
8 9 13 15 48  #SUP: 5535
8 9 13 17 19  #SUP: 6318
8 9 13 17 22  #SUP: 5800
8 9 13 17 48  #SUP: 5825
8 9 13 19 22  #SUP: 5837
8 9 13 19 48  #SUP: 5607
8 9 13 22 48  #SUP: 5231
8 11 12 13 17  #SUP: 4665
8 11 13 15 17  #SUP: 6947
8 11 13 15 18  #SUP: 4707
8 11 13 15 19  #SUP: 8736
8 11 13 15 22  #SUP: 7529
8 11 13 15 48  #SUP: 7773
8 11 13 16 18  #SUP: 4787
8 11 13 17 19  #SUP: 9386
8 11 13 17 22  #SUP: 8342
8 11 13 17 24  #SUP: 4527
8 11 13 17 37  #SUP: 5346
8 11 13 17 48  #SUP: 8501
8 11 13 19 22  #SUP: 8425
8 11 13 19 48  #SUP: 8173
8 11 13 22 48  #SUP: 7454
8 11 15 17 19  #SUP: 5669
8 11 15 19 22  #SUP: 6319
8 11 15 19 48  #SUP: 6060
8 11 15 22 48  #SUP: 5234
8 11 17 19 22  #SUP: 6185
8 11 17 19 48  #SUP: 6034
8 11 17 22 48  #SUP: 5070
8 11 19 22 48  #SUP: 5723
8 13 15 17 19  #SUP: 4889
8 13 15 19 22  #SUP: 5447
8 13 15 19 48  #SUP: 5206
8 13 15 22 48  #SUP: 4712
8 13 17 19 22  #SUP: 5310
8 13 17 19 48  #SUP: 5155
8 13 17 22 48  #SUP: 4585
8 13 19 22 48  #SUP: 4855
9 11 13 15 17  #SUP: 5667
9 11 13 15 19  #SUP: 7167
9 11 13 15 22  #SUP: 6319
9 11 13 15 48  #SUP: 6221
9 11 13 17 19  #SUP: 7697
9 11 13 17 22  #SUP: 6950
9 11 13 17 48  #SUP: 6808
9 11 13 19 22  #SUP: 7082
9 11 13 19 48  #SUP: 6611
9 11 13 22 48  #SUP: 6146
9 11 15 17 19  #SUP: 4743
9 11 15 19 22  #SUP: 5291
9 11 15 19 48  #SUP: 4916
9 11 17 19 22  #SUP: 5289
9 11 17 19 48  #SUP: 4904
9 11 19 22 48  #SUP: 4747
11 13 15 17 19  #SUP: 5788
11 13 15 17 22  #SUP: 4710
11 13 15 17 48  #SUP: 4649
11 13 15 19 22  #SUP: 6277
11 13 15 19 48  #SUP: 5877
11 13 15 22 48  #SUP: 5287
11 13 17 19 22  #SUP: 6390
11 13 17 19 48  #SUP: 6069
11 13 17 22 48  #SUP: 5418
11 13 19 22 48  #SUP: 5629
3 5 8 9 11 13  #SUP: 4897
3 5 8 9 11 15  #SUP: 4944
3 5 8 11 13 15  #SUP: 6098
3 5 9 11 13 15  #SUP: 4699
5 7 8 9 11 13  #SUP: 7675
5 7 8 9 11 17  #SUP: 5377
5 7 8 9 13 17  #SUP: 5308
5 7 8 11 13 15  #SUP: 5267
5 7 8 11 13 17  #SUP: 7547
5 7 8 11 13 22  #SUP: 5409
5 7 8 11 13 48  #SUP: 6124
5 7 9 11 13 17  #SUP: 5649
5 7 9 11 13 48  #SUP: 4726
5 8 9 11 13 15  #SUP: 9131
5 8 9 11 13 17  #SUP: 10813
5 8 9 11 13 18  #SUP: 5014
5 8 9 11 13 19  #SUP: 10020
5 8 9 11 13 22  #SUP: 8995
5 8 9 11 13 37  #SUP: 4632
5 8 9 11 13 48  #SUP: 9284
5 8 9 11 15 17  #SUP: 5380
5 8 9 11 15 19  #SUP: 7154
5 8 9 11 15 22  #SUP: 6001
5 8 9 11 15 48  #SUP: 6161
5 8 9 11 17 19  #SUP: 7433
5 8 9 11 17 22  #SUP: 6429
5 8 9 11 17 48  #SUP: 6445
5 8 9 11 19 22  #SUP: 6918
5 8 9 11 19 48  #SUP: 6736
5 8 9 11 22 48  #SUP: 5852
5 8 9 13 15 17  #SUP: 4746
5 8 9 13 15 19  #SUP: 5971
5 8 9 13 15 22  #SUP: 5287
5 8 9 13 15 48  #SUP: 5484
5 8 9 13 17 19  #SUP: 6209
5 8 9 13 17 22  #SUP: 5696
5 8 9 13 17 48  #SUP: 5780
5 8 9 13 19 22  #SUP: 5728
5 8 9 13 19 48  #SUP: 5564
5 8 9 13 22 48  #SUP: 5170
5 8 11 12 13 17  #SUP: 4594
5 8 11 13 15 17  #SUP: 6828
5 8 11 13 15 18  #SUP: 4649
5 8 11 13 15 19  #SUP: 8580
5 8 11 13 15 22  #SUP: 7380
5 8 11 13 15 48  #SUP: 7698
5 8 11 13 16 18  #SUP: 4718
5 8 11 13 17 19  #SUP: 9236
5 8 11 13 17 22  #SUP: 8198
5 8 11 13 17 37  #SUP: 5261
5 8 11 13 17 48  #SUP: 8421
5 8 11 13 19 22  #SUP: 8284
5 8 11 13 19 48  #SUP: 8104
5 8 11 13 22 48  #SUP: 7368
5 8 11 15 17 19  #SUP: 5583
5 8 11 15 19 22  #SUP: 6213
5 8 11 15 19 48  #SUP: 6018
5 8 11 15 22 48  #SUP: 5185
5 8 11 17 19 22  #SUP: 6096
5 8 11 17 19 48  #SUP: 5993
5 8 11 17 22 48  #SUP: 5022
5 8 11 19 22 48  #SUP: 5679
5 8 13 15 17 19  #SUP: 4805
5 8 13 15 19 22  #SUP: 5342
5 8 13 15 19 48  #SUP: 5165
5 8 13 15 22 48  #SUP: 4665
5 8 13 17 19 22  #SUP: 5221
5 8 13 17 19 48  #SUP: 5113
5 8 13 17 22 48  #SUP: 4537
5 8 13 19 22 48  #SUP: 4813
5 9 11 13 15 17  #SUP: 5541
5 9 11 13 15 19  #SUP: 7009
5 9 11 13 15 22  #SUP: 6150
5 9 11 13 15 48  #SUP: 6147
5 9 11 13 17 19  #SUP: 7550
5 9 11 13 17 22  #SUP: 6798
5 9 11 13 17 48  #SUP: 6739
5 9 11 13 19 22  #SUP: 6943
5 9 11 13 19 48  #SUP: 6550
5 9 11 13 22 48  #SUP: 6066
5 9 11 15 17 19  #SUP: 4652
5 9 11 15 19 22  #SUP: 5185
5 9 11 15 19 48  #SUP: 4879
5 9 11 17 19 22  #SUP: 5199
5 9 11 17 19 48  #SUP: 4869
5 9 11 19 22 48  #SUP: 4710
5 11 13 15 17 19  #SUP: 5672
5 11 13 15 17 22  #SUP: 4599
5 11 13 15 17 48  #SUP: 4593
5 11 13 15 19 22  #SUP: 6146
5 11 13 15 19 48  #SUP: 5819
5 11 13 15 22 48  #SUP: 5225
5 11 13 17 19 22  #SUP: 6272
5 11 13 17 19 48  #SUP: 6013
5 11 13 17 22 48  #SUP: 5350
5 11 13 19 22 48  #SUP: 5575
7 8 9 11 13 17  #SUP: 4819
8 9 11 13 15 17  #SUP: 4589
8 9 11 13 15 19  #SUP: 5896
8 9 11 13 15 22  #SUP: 5058
8 9 11 13 15 48  #SUP: 5139
8 9 11 13 17 19  #SUP: 6170
8 9 11 13 17 22  #SUP: 5493
8 9 11 13 17 48  #SUP: 5509
8 9 11 13 19 22  #SUP: 5684
8 9 11 13 19 48  #SUP: 5466
8 9 11 13 22 48  #SUP: 4915
8 11 13 15 17 19  #SUP: 4618
8 11 13 15 19 22  #SUP: 5065
8 11 13 15 19 48  #SUP: 4840
8 11 13 17 19 22  #SUP: 5014
8 11 13 17 19 48  #SUP: 4903
8 11 13 19 22 48  #SUP: 4550
5 7 8 9 11 13 17  #SUP: 4751
5 8 9 11 13 15 19  #SUP: 5783
5 8 9 11 13 15 22  #SUP: 4947
5 8 9 11 13 15 48  #SUP: 5091
5 8 9 11 13 17 19  #SUP: 6062
5 8 9 11 13 17 22  #SUP: 5390
5 8 9 11 13 17 48  #SUP: 5465
5 8 9 11 13 19 22  #SUP: 5579
5 8 9 11 13 19 48  #SUP: 5424
5 8 9 11 13 22 48  #SUP: 4855
5 8 11 13 15 17 19  #SUP: 4537
5 8 11 13 15 19 22  #SUP: 4970
5 8 11 13 15 19 48  #SUP: 4800
5 8 11 13 17 19 22  #SUP: 4929
5 8 11 13 17 19 48  #SUP: 4862
